City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Belmonte,BR,77.5,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
569,Bundaberg,AU,77.22,light rain,-24.85,152.35,Takalvan Motel
571,Kiunga,PG,78.96,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
572,Xai-Xai,MZ,70.36,overcast clouds,-25.05,33.64,Platinum Hotel
574,Bennettsville,US,79.36,overcast clouds,34.62,-79.68,Quality Inn
592,Mitu,CO,71.02,moderate rain,1.2,-70.17,
595,Kuching,MY,77.22,scattered clouds,1.55,110.33,Hilton Kuching
598,Machinga,MW,75.67,light rain,-15.17,35.3,
600,Gallup,US,75.04,clear sky,35.53,-108.74,El Capitan Motel
604,Ciudad Bolivar,VE,76.17,broken clouds,8.12,-63.55,Hotel Edi
606,Mareeba,AU,79.48,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
607,Brigantine,US,72.32,few clouds,39.41,-74.36,Legacy Vacation Resorts Brigantine Beach
612,Santa Cruz,BO,78.85,overcast clouds,-17.8,-63.17,Aviador Hotel Boutique
615,Yaan,NG,75.99,light rain,7.38,8.57,
616,Istmina,CO,74.39,broken clouds,5.16,-76.68,Hotel La Gran Estación Istmina
620,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
624,Banjarmasin,ID,75.34,few clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
628,Fare,PF,76.33,moderate rain,-16.7,-151.02,Maitai Lapita Village Huahine
638,Basoko,CD,72.27,overcast clouds,1.24,23.62,Jackyna Hotel
640,Harindanga,IN,78.78,clear sky,22.04,88.32,Hasanur Builders
651,General Roca,AR,75.6,overcast clouds,-39.03,-67.58,Hotel y Casino del Río General Roca
656,Poso,ID,79.23,broken clouds,-1.4,120.75,Hotel 77 Poso
663,Yeppoon,AU,73.18,overcast clouds,-23.13,150.73,Villa Mar Colina
664,Westport,US,71.37,overcast clouds,41.14,-73.36,The Westport Inn
670,Chapeco,BR,71.35,few clouds,-27.1,-52.62,Golden Hotel
674,Dong Hoi,VN,70.97,overcast clouds,17.48,106.6,Nam Long Hotel
678,Nakapiripirit,UG,70.18,broken clouds,1.92,34.78,
689,Gushikawa,JP,72.63,clear sky,26.35,127.87,Kirari Guest House
696,Sambava,MG,73.71,broken clouds,-14.27,50.17,Melrose
697,Caravelas,BR,75.06,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
699,Puerto Penasco,MX,76.91,clear sky,31.32,-113.53,Playa Bonita Resort
