City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Svetlyy,RU,54.67,20.13,37.45,68,100,11.61,overcast clouds
316,Inverell,AU,-29.78,151.12,70.11,46,0,1.99,clear sky
317,Poum,NC,-20.23,164.02,76.48,68,17,14.61,few clouds
318,Esperance,AU,-33.87,121.90,51.64,64,63,5.1,broken clouds
319,Kaitangata,NZ,-46.28,169.85,56.08,80,100,6.85,overcast clouds
320,Nyazepetrovsk,RU,56.05,59.60,25.47,83,92,9.93,overcast clouds
321,Ucluelet,CA,48.93,-125.55,53.1,90,100,3.0,light rain
322,Beloha,MG,-25.17,45.05,71.4,93,23,8.3,few clouds
323,Mercedes,AR,-34.65,-59.43,78.03,48,18,6.17,few clouds
324,Gazli,UZ,40.13,63.45,53.58,31,59,7.87,broken clouds
325,Livingston,GB,55.90,-3.52,48.67,86,0,6.91,clear sky
326,Elk City,US,35.41,-99.40,79.29,36,1,11.5,clear sky
327,Wanning,CN,18.80,110.40,71.37,86,100,9.48,overcast clouds
328,Roald,NO,62.58,6.13,51.33,76,90,10.36,overcast clouds
329,Maria Aurora,PH,15.80,121.47,75.22,91,67,0.34,broken clouds
330,Ankang,CN,32.68,109.02,58.05,91,100,0.74,light rain
331,Williams Lake,CA,52.14,-122.14,51.37,52,75,4.0,broken clouds
332,Aswan,EG,24.09,32.91,74.5,33,0,10.36,clear sky
333,Tautira,PF,-17.73,-149.15,82.42,77,89,4.07,light rain
334,Nyirtass,HU,48.12,22.03,40.95,56,1,5.23,clear sky
335,Nara,JP,34.69,135.80,58.28,88,74,3.94,broken clouds
336,Nouadhibou,MR,20.93,-17.03,73.38,64,100,17.27,overcast clouds
337,Sao Filipe,CV,14.90,-24.50,78.94,76,36,9.75,scattered clouds
338,Yarada,IN,17.65,83.27,77.32,88,40,2.3,mist
339,Tunceli,TR,39.11,39.55,49.06,57,65,6.6,broken clouds
340,Saint Andrews,US,34.05,-81.13,78.89,79,40,3.44,scattered clouds
341,Lavrentiya,RU,65.58,-171.00,17.94,76,100,9.55,overcast clouds
342,Lincoln,US,40.80,-96.67,55.35,62,1,5.01,clear sky
343,Severnoye,RU,56.35,78.36,41.43,84,100,11.14,light rain
344,Santa Barbara,US,34.73,-120.03,60.78,79,40,9.22,scattered clouds
345,Longyearbyen,SJ,78.22,15.64,19.24,63,20,18.41,few clouds
346,Hastings,GB,50.86,0.57,54.28,90,51,10.13,broken clouds
347,Grasse,FR,43.67,6.92,55.8,83,90,3.44,overcast clouds
348,Zonguldak,TR,41.25,31.83,38.03,88,0,3.22,clear sky
349,Banjar,ID,-8.19,114.97,78.66,85,88,3.74,overcast clouds
350,Klaksvik,FO,62.23,-6.59,41.92,78,100,11.1,overcast clouds
351,Woodland,US,38.68,-121.77,68.05,68,40,4.0,scattered clouds
352,Tilichiki,RU,60.47,166.10,30.22,95,100,13.78,light snow
353,Katherine,AU,-14.47,132.27,86.32,58,0,6.91,clear sky
354,Nemuro,JP,43.32,145.57,55.2,83,100,8.37,overcast clouds
355,Nola,IT,40.92,14.53,65.35,78,100,8.99,overcast clouds
356,Adrar,MR,20.50,-10.07,82.65,16,87,14.61,overcast clouds
357,Mahajanga,MG,-15.72,46.32,78.82,89,40,8.05,light rain
358,Nha Trang,VN,12.25,109.18,75.2,94,100,9.57,overcast clouds
359,Vista Hermosa,MX,19.52,-99.22,72.39,42,94,8.08,overcast clouds
360,Aasiaat,GL,68.71,-52.87,4.37,94,38,4.45,scattered clouds
361,Dabola,GN,10.75,-11.12,72.45,92,99,1.32,light rain
362,Manga,BF,11.66,-1.07,81.36,47,75,7.65,broken clouds
363,Voh,NC,-20.97,164.70,81.23,49,7,4.16,clear sky
364,Lac Du Bonnet,CA,50.25,-96.06,43.18,60,11,10.54,few clouds
365,Itarema,BR,-2.92,-39.92,80.15,73,2,17.31,clear sky
366,Korla,CN,41.76,86.15,46.38,44,0,3.24,clear sky
367,Pangnirtung,CA,66.15,-65.71,24.8,74,75,2.3,broken clouds
368,Banfora,BF,10.63,-4.77,77.31,76,55,3.91,broken clouds
369,Bowen,AU,-20.02,148.23,79.02,66,88,11.05,overcast clouds
370,Tignere,CM,7.37,12.65,66.4,87,97,2.04,overcast clouds
371,Dhidhdhoo,MV,6.88,73.10,81.75,78,96,9.24,overcast clouds
372,Esmeraldas,BR,-19.76,-44.31,72.64,89,98,11.18,overcast clouds
373,Biltine,TD,14.53,20.92,82.44,20,11,7.18,few clouds
374,Ponta Do Sol,PT,32.67,-17.10,70.72,72,43,6.04,scattered clouds
375,Praya,CV,14.92,-23.51,79.34,83,40,16.11,scattered clouds
376,Provideniya,RU,64.38,-173.30,21.31,58,75,6.71,broken clouds
377,Peniche,PT,39.36,-9.38,63.45,91,0,14.34,clear sky
378,Manacapuru,BR,-3.30,-60.62,88.38,70,89,1.45,moderate rain
379,Jardim,BR,-21.48,-56.14,70.72,58,72,4.5,broken clouds
380,Mecca,SA,21.43,39.83,79.02,62,1,2.46,clear sky
381,Leningradskiy,RU,69.38,178.42,9.05,94,100,16.02,overcast clouds
382,Clyde River,CA,70.47,-68.59,25.03,74,90,2.3,overcast clouds
383,Matagami,CA,49.75,-77.63,37.51,81,75,4.61,broken clouds
384,Sibiti,CG,-3.68,13.35,70.3,98,98,2.8,overcast clouds
385,Pedernales,DO,18.04,-71.74,82.44,71,32,3.96,scattered clouds
386,Soe,ID,-9.86,124.28,74.14,63,80,4.45,broken clouds
387,Jaruco,CU,23.04,-82.01,83.53,74,97,6.2,overcast clouds
388,Tera,NE,14.01,0.75,86.0,23,38,1.48,scattered clouds
389,Safford,US,32.83,-109.71,88.05,20,0,4.27,clear sky
390,Lucea,JM,18.45,-78.17,84.85,75,32,3.38,scattered clouds
391,Gumdag,TM,39.21,54.59,55.47,66,30,11.72,scattered clouds
392,Dudinka,RU,69.41,86.18,13.59,96,99,10.02,overcast clouds
393,Butte,US,39.65,-121.57,65.91,47,1,4.61,clear sky
394,Ulaangom,MN,49.98,92.07,29.98,74,17,2.3,few clouds
395,Wiarton,CA,44.74,-81.13,45.05,93,90,13.8,overcast clouds
396,Pizarro,CO,4.95,-77.37,78.17,87,61,6.13,light rain
397,Rio Grande,BR,-32.03,-52.10,78.91,77,0,9.17,clear sky
398,Te Anau,NZ,-45.42,167.72,61.9,74,62,3.44,broken clouds
399,Mildura,AU,-34.20,142.15,64.08,44,0,9.22,clear sky
400,Kabinda,CD,-6.13,24.48,68.29,94,95,3.18,overcast clouds
401,Bara,NG,10.37,10.73,81.12,55,91,6.02,overcast clouds
402,Uruzgan,AF,32.83,66.00,50.49,24,71,6.73,broken clouds
403,Saint Anthony,US,45.02,-93.22,53.62,46,1,1.01,clear sky
404,Lulea,SE,65.58,22.15,32.07,100,90,2.3,overcast clouds
405,Margate,GB,51.38,1.39,51.89,89,61,1.01,broken clouds
