City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2021-10-19 18:15:42,-33.5906,26.891,60.89,74,0,13.44
68,Chuy,UY,2021-10-19 18:13:26,-33.6971,-53.4616,65.59,58,12,11.81
69,Bredasdorp,ZA,2021-10-19 18:11:37,-34.5322,20.0403,58.28,88,0,14.7
70,Kiknur,RU,2021-10-19 18:15:44,57.3034,47.2011,31.32,93,85,5.99
71,Port Elizabeth,ZA,2021-10-19 18:15:44,-33.918,25.5701,62.1,88,20,8.05
72,Rybachiy,RU,2021-10-19 18:15:45,48.7073,44.7449,39.06,65,91,11.56
73,Castro,BR,2021-10-19 18:13:34,-24.7911,-50.0119,55.45,96,100,6.51
74,Mahebourg,MU,2021-10-19 18:13:15,-20.4081,57.7,73.26,75,35,10.04
75,Lavrentiya,RU,2021-10-19 18:12:20,65.5833,-171.0,27.79,95,100,19.53
76,Portland,US,2021-10-19 18:13:30,45.5234,-122.6762,59.09,77,75,8.01
77,Glendive,US,2021-10-19 18:12:02,47.1053,-104.7125,41.63,82,90,13.8
78,Shache,CN,2021-10-19 18:11:51,38.4167,77.2406,54.81,20,26,5.68
79,Camocim,BR,2021-10-19 18:15:46,-2.9022,-40.8411,85.66,65,64,17.9
80,Saldanha,ZA,2021-10-19 18:11:32,-33.0117,17.9442,64.0,63,0,14.7
81,Snyder,US,2021-10-19 18:11:28,32.7179,-100.9176,81.52,50,1,12.66
82,Okha,RU,2021-10-19 18:15:47,53.5739,142.9478,24.04,79,56,10.87
83,Coihaique,CL,2021-10-19 18:15:04,-45.5752,-72.0662,70.41,49,40,10.36
84,Codrington,AU,2021-10-19 18:15:48,-38.2667,141.9667,50.68,86,50,15.28
85,Key Largo,US,2021-10-19 18:15:48,25.0865,-80.4473,85.01,58,26,16.6
86,Hobart,AU,2021-10-19 18:10:08,-42.8794,147.3294,40.26,86,49,1.01
87,Hami,CN,2021-10-19 18:11:44,42.8,93.45,54.34,24,1,1.77
88,Khatanga,RU,2021-10-19 18:11:31,71.9667,102.5,29.53,94,100,14.92
89,Barsovo,RU,2021-10-19 18:15:09,61.1667,73.1667,51.93,61,100,16.33
90,Safford,US,2021-10-19 18:15:50,32.834,-109.7076,72.93,52,1,0.6
91,Terrace Bay,CA,2021-10-19 18:15:50,48.7834,-87.1,61.3,70,94,11.79
92,Sao Filipe,CV,2021-10-19 18:13:31,14.8961,-24.4956,82.31,65,4,4.12
93,Hit,IQ,2021-10-19 18:15:51,33.6416,42.8251,75.13,40,0,3.83
94,Katsuura,JP,2021-10-19 18:15:51,35.1333,140.3,62.62,77,98,12.24
95,Hithadhoo,MV,2021-10-19 18:11:37,-0.6,73.0833,82.6,75,75,11.25
96,Gushikawa,JP,2021-10-19 18:15:52,26.3544,127.8686,74.43,66,90,12.66
97,Basar,IN,2021-10-19 18:15:52,27.9833,94.6667,68.59,100,100,1.48
98,Barra Dos Coqueiros,BR,2021-10-19 18:15:53,-10.9089,-37.0386,84.22,70,20,16.11
99,Merauke,ID,2021-10-19 18:15:53,-8.4667,140.3333,78.62,88,57,9.4
100,Swan River,CA,2021-10-19 18:15:54,52.1058,-101.2676,39.09,60,80,13.8
101,Lourdes,FR,2021-10-19 18:15:54,43.1,-0.05,65.32,88,0,2.3
102,Nyurba,RU,2021-10-19 18:15:55,63.2842,118.3319,33.94,97,100,10.65
103,Ballina,AU,2021-10-19 18:15:55,-28.8667,153.5667,57.94,91,17,3.02
104,Izumo,JP,2021-10-19 18:15:56,35.3667,132.7667,57.15,74,83,16.08
105,Souillac,MU,2021-10-19 18:13:23,-20.5167,57.5167,73.36,73,14,7.38
106,Touros,BR,2021-10-19 18:13:44,-5.1989,-35.4608,86.9,61,62,15.7
107,Pundaguitan,PH,2021-10-19 18:15:57,6.3711,126.1689,82.15,75,91,3.33
108,Voskresenskoye,RU,2021-10-19 18:15:57,56.8381,45.4317,32.94,97,81,5.06
109,Tuktoyaktuk,CA,2021-10-19 18:11:11,69.4541,-133.0374,15.8,100,75,6.91
110,Hilo,US,2021-10-19 18:14:30,19.7297,-155.09,74.25,89,90,6.91
111,Beringovskiy,RU,2021-10-19 18:12:19,63.05,179.3167,28.18,84,99,15.14
112,Cravo Norte,CO,2021-10-19 18:15:58,6.3017,-70.2041,91.9,48,44,7.14
113,Georgetown,MY,2021-10-19 18:13:50,5.4112,100.3354,78.89,91,72,5.75
114,Butaritari,KI,2021-10-19 18:11:36,3.0707,172.7902,82.06,68,29,9.17
115,Sitka,US,2021-10-19 18:13:18,57.0531,-135.33,51.69,50,90,20.71
116,Sangar,RU,2021-10-19 18:13:59,63.9242,127.4739,14.54,93,100,11.25
117,Tuatapere,NZ,2021-10-19 18:12:54,-46.1333,167.6833,39.96,73,73,3.31
118,Kahului,US,2021-10-19 18:10:03,20.8947,-156.47,78.82,73,20,10.36
119,Grajewo,PL,2021-10-19 18:16:00,53.6473,22.4554,44.76,90,100,10.02
120,Mpulungu,ZM,2021-10-19 18:16:01,-8.7623,31.1141,82.24,47,89,6.11
121,Mar Del Plata,AR,2021-10-19 18:11:23,-38.0023,-57.5575,66.22,63,0,13.8
122,Abu Dhabi,AE,2021-10-19 18:16:03,24.4667,54.3667,87.91,58,0,8.05
123,Shostka,UA,2021-10-19 18:16:04,51.863,33.4698,35.73,74,18,8.14
124,Baisha,CN,2021-10-19 18:16:05,26.5222,110.9311,58.24,98,100,1.01
125,Omboue,GA,2021-10-19 18:16:06,-1.5746,9.2618,76.55,81,99,5.93
126,Gaoua,BF,2021-10-19 18:16:08,10.2992,-3.2508,77.79,81,79,2.95
